CTA010	O	NN	cta010	P
CT	O	NN	ct	P
Chest/PE	O	NN	chest/p	P
study	O	NN	studi	P
CT	O	NN	ct	P
05/08/2007	O	CD	05/08/2007	P
CT	O	NN	ct	P
angiogram	O	NN	angiogram	P
of	O	IN	of	P
the	O	DT	the	P
pelvis	O	NN	pelvi	P
and	O	CC	and	P
bilateral	O	JJ	bilater	P
lower	O	JJR	lower	P
extremities	O	NNS	extrem	P
with	O	IN	with	P
3D	O	NN	3d	P
reconstructions	O	NNS	reconstruct	P
.	O	.	.	P
Pelvis	O	NNP	pelvi	P
:	O	:	:	P
The	O	DT	the	P
limbs	O	NNS	limb	P
of	O	IN	of	P
the	O	DT	the	P
graft	O	NN	graft	P
are	O	VBP	be	P
patent	O	NN	patent	P
without	O	IN	without	P
stenosis	O	NN	stenosi	N
.	O	.	.	P
Since	O	IN	sinc	N
11/15/06	O	CD	11/15/06	N
,	O	,	,	N
the	O	DT	the	N
perigraft	O	NN	perigraft	N
fluid	O	NN	fluid	N
has	O	VBZ	have	N
resolved	O	VBN	resolv	P
.	O	.	.	P
RIGHT	O	NN	right	P
LOWER	O	NN	lower	P
EXTREMITY	O	NN	extrem	P
:	O	:	:	P
The	O	DT	the	P
deep	O	JJ	deep	P
femoral	O	JJ	femor	P
artery	O	NN	arteri	P
has	O	VBZ	have	P
a	O	DT	a	P
tight	O	JJ	tight	P
stenosis	O	NN	stenosi	P
at	O	IN	at	P
the	O	DT	the	P
origin	O	NN	origin	P
which	O	WDT	which	P
has	O	VBZ	have	P
progressed	O	VBN	progress	P
since	O	IN	sinc	P
11/15/06	O	CD	11/15/06	P
and	O	CC	and	P
about	O	IN	about	P
the	O	DT	the	P
same	O	JJ	same	P
as	O	IN	as	P
on	O	IN	on	P
3/29/07	O	CD	3/29/07	P
.	O	.	.	P
The	O	DT	the	P
SFA	O	NNP	sfa	P
is	O	VBZ	be	P
patent	O	NN	patent	P
with	O	IN	with	P
mild	O	JJ	mild	P
stenosis	O	NN	stenosi	P
at	O	IN	at	P
the	O	DT	the	P
femoral	O	JJ	femor	P
popliteal	O	NN	poplit	P
junction	O	NN	junction	P
.	O	.	.	P
The	O	DT	the	P
popliteal	O	NN	poplit	P
artery	O	NN	arteri	P
is	O	VBZ	be	P
patent	O	NN	patent	P
without	O	IN	without	P
stenosis	O	NN	stenosi	N
.	O	.	.	P
Three	O	CD	three	P
vessel	O	NN	vessel	P
runoff	O	NN	runoff	P
.	O	.	.	P
The	O	DT	the	P
dorsalis	O	NN	dorsali	P
pedis	O	NN	pedi	P
and	O	CC	and	P
plantar	O	JJ	plantar	P
arteries	O	NNS	arteri	P
are	O	VBP	be	P
patent	O	NN	patent	P
in	O	IN	in	P
the	O	DT	the	P
foot	O	NN	foot	P
.	O	.	.	P
LEFT	O	NNP	left	P
LOWER	O	NNP	lower	P
EXTREMITY	O	NNP	extrem	P
:	O	:	:	P
Fluid	O	NN	fluid	P
collection	O	NN	collect	P
adjacent	O	JJ	adjac	P
to	O	TO	to	P
the	O	DT	the	P
left	O	JJ	left	P
femoral	O	JJ	femor	P
graft	O	NN	graft	P
anastomosis	O	NN	anastomosi	P
and	O	CC	and	P
interposition	O	NN	interposit	P
graft	O	NN	graft	P
to	O	TO	to	P
the	O	DT	the	P
SFA	O	NNP	sfa	P
.	O	.	.	P
This	O	DT	thi	P
is	O	VBZ	be	P
unchanged	O	JJ	unchang	P
compared	O	VBN	compar	P
to	O	TO	to	P
3/29/07	O	CD	3/29/07	P
.	O	.	.	P
The	O	DT	the	P
deep	O	JJ	deep	P
femoral	O	JJ	femor	P
artery	O	NN	arteri	P
is	O	VBZ	be	P
widely	O	RB	wide	P
patent	O	NN	patent	P
.	O	.	.	P
The	O	DT	the	P
interposition	O	NN	interposit	P
graft	O	NN	graft	P
from	O	IN	from	P
the	O	DT	the	P
iliac	O	JJ	iliac	P
graft	O	NN	graft	P
limb	O	NN	limb	P
to	O	TO	to	P
the	O	DT	the	P
SFA	O	NNP	sfa	P
is	O	VBZ	be	P
occluded	O	JJ	occlud	P
.	O	.	.	P
The	O	DT	the	P
deep	O	JJ	deep	P
femoral	O	JJ	femor	P
artery	O	NN	arteri	P
is	O	VBZ	be	P
well	O	RB	well	P
developed	O	VBN	develop	P
and	O	CC	and	P
reconstitutes	O	VBZ	reconstitut	P
the	O	DT	the	P
SFA	O	NNP	sfa	P
in	O	IN	in	P
the	O	DT	the	P
mid	O	JJ	mid	P
thigh	O	NN	thigh	P
where	O	WRB	where	P
it	O	PRP	it	P
is	O	VBZ	be	P
a	O	DT	a	P
diminutive	O	JJ	diminut	P
artery	O	NN	arteri	P
.	O	.	.	P
The	O	DT	the	P
popliteal	O	NN	poplit	P
artery	O	NN	arteri	P
is	O	VBZ	be	P
patent	O	NN	patent	P
without	O	IN	without	P
stenosis	O	NN	stenosi	N
.	O	.	.	P
Three	O	CD	three	P
vessel	Modifier	NN	vessel	P
runoff	O	NN	runoff	P
.	O	.	.	P
Dorsalis	O	NNP	dorsali	P
pedis	O	NN	pedi	P
and	O	CC	and	P
plantar	O	JJ	plantar	P
artery	O	NN	arteri	P
are	O	VBP	be	P
patent	O	NN	patent	P
in	O	IN	in	P
the	O	DT	the	P
foot	O	NN	foot	P
.	O	.	.	P
