CTA010	O	NN	cta010	P
CT	O	NN	ct	P
Chest/PE	O	NN	chest/p	P
study	O	NN	studi	P
CT	O	NN	ct	P
05/10/2007	O	CD	05/10/2007	P
DES	O	NNP	de	P
>	O	JJR	>	P
<	O	JJR	<	P
REPOContrast‑enhanced	O	JJ	repocontrast‑enhanc	P
CT	O	NN	ct	P
of	O	IN	of	P
the	O	DT	the	P
chest	O	NN	chest	P
according	O	VBG	accord	P
to	O	TO	to	P
the	O	DT	the	P
PE	O	NN	pe	P
protocol	O	NN	protocol	P
.	O	.	.	P
NG‑tube	O	NN	ng‑tube	P
in	O	IN	in	P
satisfactory	O	JJ	satisfactori	P
position	O	NN	posit	P
.	O	.	.	P
Subsegmental	O	JJ	subsegment	P
atelectasis	O	NN	atelectasi	P
in	O	IN	in	P
the	O	DT	the	P
lung	O	NN	lung	P
bases	O	NNS	basi	P
.	O	.	.	P
No	O	DT	no	P
obvious	O	JJ	obviou	N
pulmonary	O	JJ	pulmonari	N
emboli	O	NNS	embolu	N
.	O	.	.	P
Small	O	JJ	small	P
pleural	O	JJ	pleural	P
effusions	O	NNS	effus	P
bilaterally	O	RB	bilater	P
.	O	.	.	P
Diffuse	O	JJ	diffus	P
fatty	O	NN	fatti	P
infiltration	O	NN	infiltr	P
of	O	IN	of	P
the	O	DT	the	P
liver	O	NN	liver	P
.	O	.	.	P
NG	O	NN	ng	P
tube	O	NN	tube	P
below	O	IN	below	P
the	O	DT	the	P
diaphragm	O	NN	diaphragm	P
.	O	.	.	P
Calcified	O	VBN	calcifi	P
left	O	JJ	left	P
hilar	O	JJ	hilar	P
lymph	O	NN	lymph	P
nodes	O	NNS	node	P
.	O	.	.	P
Old	O	NNP	old	P
left	O	VBD	leav	P
rib	O	NN	rib	P
fractures	O	NNS	fractur	P
.	O	.	.	P
