MCW	O	NN	mcw	P
1865754	O	CD	1865754	P
TACHYCARDIA	O	NN	tachycardia	P
,	O	,	,	P
CT	Modality	NNP	ct	P
THORAX	Anatomy	NNP	thorax	P
AND	O	CC	and	P
CT	Modality	NNP	ct	P
PELVIS	Anatomy	NNP	pelvi	P
-LRB-	O	-LRB-	-lrb-	P
185A-B	O	NNP	185a-b	P
-RRB-	O	-RRB-	-rrb-	P
:	O	:	:	P
COMPARISON	O	NNP	comparison	P
STUDIES	O	NNP	studi	P
ARE	O	VBP	be	P
FROM	O	IN	from	P
-LSB-	O	-LRB-	-lsb-	P
date	O	NN	date	P
-RSB-	O	-RRB-	-rsb-	P
.	O	.	.	P
AN	O	DT	a	P
IV	O	CD	iv	P
CONTRAST-ENHANCED	O	NNP	contrast-enhanc	P
HELICAL	O	NNP	helic	P
CT	Modality	NNP	ct	P
WAS	O	NNP	wa	P
PERFORMED	O	VBD	perform	P
THROUGH	O	IN	through	P
THE	O	DT	the	P
CHEST	Anatomy	NN	chest	P
AND	O	CC	and	P
PELVIS	Anatomy	NN	pelvi	P
PER	O	IN	per	P
PULMONARY	Observation	NN	pulmonari	P
EMBOLUS	Observation	NNS	embolu	P
PROTOCOL	O	NN	protocol	P
.	O	.	.	P
THERE	O	NNP	there	P
ARE	O	VBP	be	P
NO	O	NN	no	P
RADIOGRAPHIC	O	NN	radiograph	N
SIGNS	O	NNS	sign	N
OF	O	IN	of	N
PULMONARY	Observation	NN	pulmonari	N
EMBOLISM	Observation	NN	embol	N
OR	O	NN	or	N
DEEP	Observation	JJ	deep	N
VEIN	Observation	NN	vein	N
THROMBOSIS	Observation	NNS	thrombosi	N
.	O	.	.	P
NEW	O	JJ	new	P
POST	Observation	NN	post	P
SURGICAL	Observation	JJ	surgic	P
CHANGES	O	NNS	chang	P
ARE	O	VBP	be	P
PRESENT	O	JJ	present	P
IN	O	IN	in	P
THE	O	DT	the	P
LEFT	Anatomy_Modifier	NNP	left	P
HEMITHORAX	Anatomy	NNP	hemithorax	P
INCLUDING	O	NNP	includ	P
A	O	NNP	a	P
NEW	Observation_Modifier	NNP	new	P
LEFT	Anatomy_Modifier	NNP	left	P
THORACOTOMY	Observation	NNP	thoracotomi	P
,	O	,	,	P
NEW	Observation_Modifier	NNP	new	P
LEFT	Anatomy_Modifier	NNP	left	P
RIB	Anatomy	NN	rib	P
FRACTURE	Observation	NN	fractur	P
,	O	,	,	P
AND	O	CC	and	P
NEW	Observation_Modifier	NNP	new	P
SUBCUTANEOUS	Observation_Modifier	NNPS	subcutan	P
AND	O	CC	and	P
PLEURAL-BASED	O	NNPS	pleural-bas	P
AIR	Observation	NNP	air	P
.	O	.	.	P
THE	O	DT	the	P
PREVIOUSLY	Observation_Modifier	RB	previous	P
SEEN	Observation_Modifier	VBN	see	P
LEFT	Anatomy_Modifier	JJ	left	P
HYDROTHORAX	Observation	NN	hydrothorax	P
,	O	,	,	P
WITH	O	IN	with	P
EXTENSION	Observation_Modifier	NN	extens	P
INTO	O	IN	into	P
THE	O	DT	the	P
POSTEROLATERAL	Anatomy_Modifier	JJ	posterolater	P
CHEST	Anatomy	NN	chest	P
WALL	Anatomy	NNP	wall	P
,	O	,	,	P
APPEARS	Uncertainty	VBZ	appear	P
SOMEWHAT	Observation_Modifier	RB	somewhat	P
LARGER	Observation_Modifier	JJ	larger	P
ON	O	IN	on	P
TODAY	O	NNP	todai	P
'S	O	POS	's	P
STUDY	O	NN	studi	P
.	O	.	.	P
PREVIOUSLY	Observation_Modifier	RB	previous	P
SEEN	Observation_Modifier	NNP	seen	P
SCLEROSIS	Observation	NNPS	sclerosi	P
OF	O	IN	of	P
THE	O	DT	the	P
ADJACENT	Anatomy_Modifier	JJ	adjac	P
POSTERIOR	Anatomy_Modifier	NN	posterior	P
RIB	Anatomy	NN	rib	P
IS	O	VBZ	be	P
AGAIN	O	RB	again	P
NOTED	O	VBN	note	P
.	O	.	.	P
ADJACENT	Anatomy_Modifier	JJ	adjac	P
LEFT	Anatomy_Modifier	NNP	left	P
LOWER	Anatomy	NNP	lower	P
LOBE	Anatomy	NNP	lobe	P
ATELECTASIS	Observation	NNP	atelectasi	P
IS	O	VBZ	be	P
INCREASED	Observation_Modifier	NNP	increas	P
IN	O	IN	in	P
SIZE	Observation_Modifier	NNP	size	P
.	O	.	.	P
SOFT	Anatomy	JJ	soft	P
TISSUE	Anatomy	NN	tissu	P
PROMINENCE	Observation	NN	promin	P
,	O	,	,	P
SURGICAL	Observation	JJ	surgic	P
SUTURE	Observation	NN	sutur	P
,	O	,	,	P
AND	O	CC	and	P
CHANGES	O	NNS	chang	P
ASSOCIATED	O	VBN	associ	P
WITH	O	IN	with	P
A	O	DT	a	P
RIGHT	Anatomy_Modifier	NN	right	P
THORACOTOMY	Observation	NN	thoracotomi	P
ARE	O	VBP	be	P
AGAIN	O	RB	again	P
NOTED	O	VBN	note	P
AT	O	IN	at	P
THE	O	DT	the	P
RIGHT	Anatomy_Modifier	NN	right	P
LUNG	Anatomy	NN	lung	P
BASE	Anatomy_Modifier	NN	base	P
.	O	.	.	P
MULTIPLE	Observation_Modifier	JJ	multipl	P
PATCHY	Observation_Modifier	JJ	patchi	P
OPACITIES	Observation	NN	opac	P
AT	O	IN	at	P
THE	O	DT	the	P
RIGHT	Anatomy	NNP	right	P
UPPER	Anatomy	NNP	upper	P
LOBE	Anatomy	NNP	lobe	P
ARE	O	VBP	be	P
STABLE	Observation_Modifier	JJ	stabl	P
.	O	.	.	P
BILATERAL	Anatomy_Modifier	JJ	bilater	P
BRONCHIECTASIS	Observation	NN	bronchiectasi	P
IS	O	VBZ	be	P
UNCHANGED	Observation_Modifier	NNP	unchang	P
.	O	.	.	P
PULMONARY	Anatomy	JJ	pulmonari	P
NODULES	Observation	NN	nodul	P
IN	O	IN	in	P
THE	O	DT	the	P
RIGHT	Anatomy_Modifier	NN	right	P
LUNG	Anatomy	NN	lung	P
ARE	O	VBP	be	P
STABLE	Observation_Modifier	NN	stabl	P
.	O	.	.	P
NUMEROUS	Observation_Modifier	JJ	numer	P
CALCIFIED	Observation_Modifier	JJ	calcifi	P
MEDIASTINAL	Anatomy	NN	mediastin	P
AND	O	CC	and	P
HILAR	Anatomy	NN	hilar	P
LYMPH	Observation	NN	lymph	P
NODES	Observation	VBZ	node	P
ARE	O	VBP	be	P
UNCHANGED	Observation_Modifier	NN	unchang	P
.	O	.	.	P
THERE	O	VB	there	P
IS	O	VBZ	be	P
NO	Uncertainty	NN	no	P
NEW	Observation_Modifier	JJ	new	P
MEDIASTINAL	Anatomy	NN	mediastin	N
OR	O	NN	or	N
HILAR	Anatomy	NN	hilar	N
LYMPHADENOPATHY	Observation	NN	lymphadenopathi	N
.	O	.	.	P
NO	Uncertainty	NN	no	P
CARDIOMEGALY	Observation	NN	cardiomegali	N
OR	O	NN	or	N
PERICARDIAL	Anatomy	JJ	pericardi	N
EFFUSIONS	Observation	NNS	effus	N
ARE	O	VBP	be	N
PRESENT	O	JJ	present	N
.	O	.	.	P
CORONARY	Anatomy	JJ	coronari	P
ARTERIAL	Anatomy	NN	arteri	P
CALCIFICATIONS	Observation	NNS	calcif	P
ARE	O	VBP	be	P
NOTED	O	VBN	note	P
.	O	.	.	P
THE	O	DT	the	P
LIVER	Anatomy	NN	liver	P
HAS	O	VBZ	have	P
A	O	DT	a	P
NODULAR	Observation	NN	nodular	P
APPEARANCE	O	NN	appear	P
AND	O	CC	and	P
CONTAINS	O	VBZ	contain	P
MULTIPLE	Observation_Modifier	JJ	multipl	P
CALCIFIED	Observation_Modifier	JJ	calcifi	P
GRANULOMA	Observation	NN	granuloma	P
.	O	.	.	P
THE	O	DT	the	P
REMAINDER	O	NN	remaind	P
OF	O	IN	of	P
THE	O	DT	the	P
ABDOMEN	Anatomy	NN	abdomen	P
IS	O	VBZ	be	P
UNREMARKABLE	Observation	NNP	unremark	P
.	O	.	.	P
SEVERAL	Observation_Modifier	CD	sever	P
SURGICAL	Observation	JJ	surgic	P
CLIPS	Observation	NNS	clip	P
ARE	O	VBP	be	P
NOTED	O	VBN	note	P
IN	O	IN	in	P
THE	O	DT	the	P
DEEP	Anatomy_Modifier	JJ	deep	P
PELVIS	Anatomy	NN	pelvi	P
.	O	.	.	P
NO	Uncertainty	NN	no	P
OSSEOUS	Anatomy	NNS	osseou	N
DESTRUCTIVE	Observation_Modifier	JJ	destruct	N
LESIONS	Observation	NNS	lesion	N
ARE	O	VBP	be	N
SEEN	O	NN	seen	N
