MCW	O	O
1820231	O	O
HEMOPTYSIS	O	Observation
,	O	O
H/O	O	O
RUL	O	Anatomy
LESION	O	Observation
,	O	O
BREAST	O	Anatomy
CA	O	Observation
HISTORY	O	O
OF	O	O
MYELODYSPLASTIC	O	Observation
DISEASE	O	Observation
CT	O	Modality
THORAX	O	Anatomy
,	O	O
CT	O	Modality
LIVER/SPLEEN	O	O
&	O	O
CT	O	Modality
PELVIS	O	Anatomy
-LRB-	O	O
#	O	O
452A	O	O
,	O	O
450A	O	O
&	O	O
451A	O	O
-RRB-	O	O
TECHNIQUE	O	O
:	O	O
2.5	O	O
MM	O	O
AXIAL	O	O
COMPUTED	O	O
TOMOGRAPHIC	O	O
IMAGES	O	O
WERE	O	O
OBTAINED	O	O
THROUGH	O	O
THE	O	O
CHEST	O	Anatomy
,	O	O
ABDOMEN	O	Anatomy
AND	O	O
PELVIS	O	Anatomy
AFTER	O	O
THE	O	O
ADMINISTRATION	O	O
OF	O	O
ORAL	O	O
AND	O	O
131	O	O
CC	O	O
OF	O	O
INTRAVENOUS	O	O
OMNIPAQUE	O	O
300	O	O
.	O	O
COMPARISON	O	O
:	O	O
-LSB-	O	O
date	O	O
-RSB-	O	O
.	O	O
FINDINGS	O	O
:	O	O
AS	O	O
SEEN	O	O
ON	O	O
THE	O	O
PRIOR	O	O
EXAMINATION	O	O
,	O	O
AN	O	O
ANTERIOR	O	Anatomy_Modifier
SEGMENT	O	Anatomy_Modifier
RIGHT	1_Red_Minutes	Anatomy
UPPER	1_Red_Minutes	Anatomy
LOBE	1_Red_Minutes	Anatomy
MASS	1_Red_Minutes	Observation
IS	O	O
IDENTIFIED	O	O
AT	O	O
THE	O	O
JUNCTION	O	O
OF	O	O
THE	O	O
SUPERIOR	O	Anatomy
VENA	O	Anatomy
CAVA	O	Anatomy
AND	O	O
LEFT	O	Anatomy_Modifier
INNOMINATE	O	Anatomy
VEIN	O	Anatomy
.	O	O
IT	O	O
MEASURES	O	O
3.6	O	Observation_Modifier
CM	O	Observation_Modifier
X	O	Observation_Modifier
2.2	O	Observation_Modifier
CM	O	Observation_Modifier
IN	O	O
DIMENSION	O	O
.	O	O
COMPARED	O	O
TO	O	O
A	O	O
SIMILAR	O	O
LOCATION	O	O
,	O	O
THIS	O	O
MASS	O	Observation
MEASURED	O	O
3.9	O	Observation_Modifier
MM	O	Observation_Modifier
X	O	Observation_Modifier
2.6	O	Observation_Modifier
MM	O	Observation_Modifier
IN	O	O
DIMENSION	O	O
ON	O	O
THE	O	O
PRIOR	O	O
EXAM	O	O
.	O	O
THERE	O	O
IS	O	O
LARGE	1_Red_Minutes	Observation_Modifier
CENTRAL	1_Red_Minutes	Anatomy_Modifier
HYPOATTENUATING	O	Observation_Modifier
COMPONENT	O	Observation_Modifier
SUGGESTING	O	Uncertainty
NECROSIS	1_Red_Minutes	Observation
WHICH	O	O
HAS	O	O
INCREASED	O	Observation_Modifier
IN	O	O
COMPARISON	O	O
TO	O	O
THE	O	O
PRIOR	O	O
EXAMINATION	O	O
.	O	O
THERE	O	O
IS	O	O
PERIPHERAL	O	Observation_Modifier
ENHANCEMENT	O	Observation
.	O	O
THERE	O	O
IS	O	O
ADJACENT	O	O
MINIMAL	O	Observation_Modifier
ATELECTASIS	O	Observation
OF	O	O
THE	O	O
ANTERIOR	O	Anatomy_Modifier
RIGHT	O	Anatomy
UPPER	O	Anatomy
