MCW	O	NN	mcw	P	B
1820231	O	CD	1820231	P	B
HEMOPTYSIS	O	NNP	hemoptysi	P	B
,	O	,	,	P	I
H/O	O	NNP	h/o	P	I
RUL	O	NNP	rul	P	I
LESION	O	NNP	lesion	P	I
,	O	,	,	P	I
BREAST	O	NNP	breast	P	I
CA	O	NNP	ca	P	I
HISTORY	O	NNP	histori	P	I
OF	O	IN	of	P	I
MYELODYSPLASTIC	O	NNP	myelodysplast	P	I
DISEASE	O	NNP	diseas	P	E
CT	O	NNP	ct	P	B
THORAX	O	NNP	thorax	P	I
,	O	,	,	P	I
CT	O	NNP	ct	P	I
LIVER/SPLEEN	O	NNP	liver/spleen	P	I
&	O	CC	&	P	I
CT	O	NNP	ct	P	I
PELVIS	O	NNP	pelvi	P	I
-LRB-	O	-LRB-	-lrb-	P	I
#	O	#	#	P	I
452A	O	NN	452a	P	I
,	O	,	,	P	I
450A	O	NN	450a	P	I
&	O	CC	&	P	I
451A	O	NN	451a	P	I
-RRB-	O	-RRB-	-rrb-	P	I
TECHNIQUE	O	NN	techniqu	P	I
:	O	:	:	P	I
2.5	O	CD	2.5	P	I
MM	O	NN	mm	P	I
AXIAL	O	NNP	axial	P	I
COMPUTED	O	NNP	comput	P	I
TOMOGRAPHIC	O	NNP	tomograph	P	I
IMAGES	O	NNP	imag	P	E
WERE	O	VBD	be	P	O
OBTAINED	O	VBN	obtain	P	O
THROUGH	O	IN	through	P	O
THE	O	DT	the	P	B
CHEST	O	NN	chest	P	I
,	O	,	,	P	I
ABDOMEN	O	NNP	abdomen	P	I
AND	O	CC	and	P	I
PELVIS	O	NNPS	pelvi	P	I
AFTER	O	IN	after	P	I
THE	O	DT	the	P	I
ADMINISTRATION	O	NNP	administr	P	I
OF	O	IN	of	P	I
ORAL	O	NNP	oral	P	I
AND	O	CC	and	P	I
131	O	CD	131	P	I
CC	O	NN	cc	P	I
OF	O	IN	of	P	I
INTRAVENOUS	O	NNP	intraven	P	I
OMNIPAQUE	O	NNP	omnipaqu	P	I
300	O	CD	300	P	E
.	O	.	.	P	O
COMPARISON	O	NN	comparison	P	B
:	O	:	:	P	I
-LSB-	O	-LRB-	-lsb-	P	I
date	O	NN	date	P	I
-RSB-	O	-RRB-	-rsb-	P	I
.	O	.	.	P	E
FINDINGS	O	NNS	find	P	B
:	O	:	:	P	I
AS	O	JJ	as	P	I
SEEN	O	NN	seen	P	I
ON	O	IN	on	P	I
THE	O	DT	the	P	I
PRIOR	O	JJ	prior	P	I
EXAMINATION	O	NN	examin	P	I
,	O	,	,	P	I
AN	O	DT	a	P	I
ANTERIOR	O	NN	anterior	P	I
SEGMENT	O	JJ	segment	P	I
RIGHT	1_Red_Minutes	NN	right	P	I
